tensor([[0.5114]], device='cuda:0'),tensor(0.5278, device='cuda:0')
tensor([[2.4831]], device='cuda:0'),tensor(0.8138, device='cuda:0')
tensor([[0.2813]], device='cuda:0'),tensor(0.3939, device='cuda:0')
tensor([[0.5313]], device='cuda:0'),tensor(0.1330, device='cuda:0')
tensor([[1.2576]], device='cuda:0'),tensor(0.4608, device='cuda:0')
tensor([[1.9586]], device='cuda:0'),tensor(0.6890, device='cuda:0')
tensor([[1.5562]], device='cuda:0'),tensor(0.8290, device='cuda:0')
tensor([[1.4950]], device='cuda:0'),tensor(0.7962, device='cuda:0')
tensor([[0.4077]], device='cuda:0'),tensor(0.1724, device='cuda:0')
tensor([[2.2358]], device='cuda:0'),tensor(0.6960, device='cuda:0')
tensor([[1.8731]], device='cuda:0'),tensor(0.5052, device='cuda:0')
tensor([[2.5777]], device='cuda:0'),tensor(0.8809, device='cuda:0')
tensor([[0.4084]], device='cuda:0'),tensor(0.1665, device='cuda:0')
tensor([[1.3255]], device='cuda:0'),tensor(0.6932, device='cuda:0')
tensor([[1.8236]], device='cuda:0'),tensor(0.5435, device='cuda:0')
tensor([[0.4725]], device='cuda:0'),tensor(0.1267, device='cuda:0')
tensor([[0.9925]], device='cuda:0'),tensor(0.3427, device='cuda:0')
tensor([[1.2301]], device='cuda:0'),tensor(0.5892, device='cuda:0')
tensor([[1.5567]], device='cuda:0'),tensor(0.4959, device='cuda:0')
tensor([[1.0759]], device='cuda:0'),tensor(0.5247, device='cuda:0')
